customer_id,age,gender,city,join_date,loyalty_level
1000,55,Male,Mumbai,2023-10-20,Platinum
1001,61,Male,Hyderabad,2022-11-21,Bronze
1002,30,Female,Mumbai,2022-07-08,Platinum
1003,26,Male,Hyderabad,2023-05-16,Bronze
1004,27,Male,Delhi,2022-07-26,Bronze
1005,29,Male,Bangalore,2022-05-26,Gold
1006,23,Female,Pune,2022-06-17,Bronze
1007,33,Female,Pune,2022-06-13,Gold
1008,18,Female,Chennai,2023-04-11,Silver
1009,34,Female,Pune,2023-10-31,Bronze
1010,19,Female,Mumbai,2023-10-25,Silver
1011,30,Male,Pune,2023-11-13,Bronze
1012,25,Female,Mumbai,2023-04-04,Bronze
1013,63,Male,Pune,2023-12-19,Bronze
1014,24,Female,Hyderabad,2022-11-23,Bronze
1015,43,Male,Delhi,2023-10-28,Silver
1016,38,Male,Delhi,2022-08-19,Gold
1017,55,Male,Pune,2022-08-29,Gold
1018,36,Female,Mumbai,2022-02-18,Bronze
1019,38,Female,Kolkata,2023-11-22,Bronze
1020,29,Female,Pune,2022-10-28,Bronze
1021,60,Male,Mumbai,2023-09-10,Bronze
1022,46,Female,Chennai,2022-07-02,Silver
1023,47,Male,Bangalore,2022-09-14,Bronze
1024,32,Male,Pune,2022-12-09,Silver
1025,22,Male,Hyderabad,2023-05-19,Silver
1026,41,Male,Chennai,2024-02-24,Bronze
1027,41,Female,Bangalore,2022-10-03,Bronze
1028,59,Male,Kolkata,2024-02-17,Gold
1029,48,Female,Kolkata,2023-09-17,Platinum
1030,50,Male,Mumbai,2024-01-03,Bronze
1031,40,Female,Pune,2022-02-21,Bronze
1032,31,Female,Hyderabad,2022-05-19,Silver
1033,59,Female,Hyderabad,2022-05-04,Bronze
1034,27,Male,Pune,2022-11-21,Bronze
1035,25,Male,Pune,2023-02-12,Bronze
1036,40,Male,Delhi,2022-09-28,Silver
1037,19,Male,Bangalore,2023-12-05,Bronze
1038,18,Male,Chennai,2023-06-18,Silver
1039,35,Male,Hyderabad,2022-06-24,Bronze
1040,26,Female,Mumbai,2023-01-16,Silver
1041,42,Male,Kolkata,2022-05-12,Silver
1042,31,Male,Mumbai,2023-03-17,Bronze
1043,60,Female,Pune,2022-07-28,Bronze
1044,26,Male,Chennai,2023-07-21,Bronze
1045,48,Male,Bangalore,2023-08-07,Bronze
1046,25,Female,Chennai,2023-05-24,Platinum
1047,21,Female,Kolkata,2023-06-11,Gold
1048,24,Male,Bangalore,2023-12-19,Silver
1049,39,Male,Mumbai,2022-05-24,Bronze
1050,21,Male,Pune,2023-02-14,Bronze
1051,22,Female,Hyderabad,2023-12-26,Silver
1052,42,Male,Mumbai,2023-05-21,Gold
1053,61,Male,Mumbai,2023-09-19,Bronze
1054,30,Male,Chennai,2024-01-21,Bronze
1055,44,Male,Pune,2023-07-11,Bronze
1056,34,Female,Bangalore,2022-02-07,Silver
1057,63,Male,Delhi,2022-05-31,Bronze
1058,59,Male,Mumbai,2023-04-21,Bronze
1059,36,Male,Chennai,2023-03-15,Gold
1060,33,Male,Hyderabad,2022-11-29,Silver
1061,18,Female,Mumbai,2023-06-09,Gold
1062,22,Female,Delhi,2023-01-12,Gold
1063,43,Male,Bangalore,2022-11-12,Bronze
1064,52,Male,Chennai,2023-12-29,Bronze
1065,41,Female,Chennai,2023-02-28,Bronze
1066,25,Female,Kolkata,2023-09-30,Gold
1067,44,Female,Hyderabad,2022-02-13,Bronze
1068,43,Male,Kolkata,2023-04-06,Silver
1069,58,Male,Hyderabad,2023-08-27,Bronze
1070,40,Male,Hyderabad,2023-09-17,Silver
1071,27,Male,Hyderabad,2022-09-11,Platinum
1072,21,Male,Bangalore,2024-01-09,Silver
1073,57,Female,Hyderabad,2023-02-22,Gold
1074,41,Female,Kolkata,2022-06-21,Gold
1075,54,Female,Hyderabad,2023-02-15,Bronze
1076,45,Male,Pune,2023-11-28,Silver
1077,55,Female,Kolkata,2023-08-09,Silver
1078,37,Female,Chennai,2022-11-05,Bronze
1079,56,Male,Hyderabad,2023-08-25,Silver
1080,26,Male,Bangalore,2023-06-24,Silver
1081,50,Male,Chennai,2022-02-13,Bronze
1082,52,Female,Chennai,2022-01-02,Bronze
1083,28,Female,Mumbai,2022-12-05,Silver
1084,41,Male,Hyderabad,2022-05-08,Silver
1085,33,Female,Hyderabad,2023-08-30,Bronze
1086,41,Female,Mumbai,2023-02-15,Bronze
1087,43,Female,Hyderabad,2023-06-27,Silver
1088,25,Male,Pune,2022-03-06,Bronze
1089,46,Female,Kolkata,2022-05-31,Gold
1090,28,Female,Kolkata,2023-09-03,Gold
1091,64,Female,Pune,2023-10-06,Bronze
1092,50,Female,Delhi,2022-03-12,Bronze
1093,42,Male,Mumbai,2023-10-15,Silver
1094,41,Female,Bangalore,2022-10-23,Bronze
1095,19,Male,Bangalore,2022-08-19,Silver
1096,31,Male,Bangalore,2022-03-25,Platinum
1097,21,Female,Mumbai,2024-01-22,Bronze
1098,18,Male,Bangalore,2022-06-26,Bronze
1099,31,Female,Kolkata,2022-11-14,Gold
