order_id,order_date,customer_id,product,category,quantity,unit_price,total_price
1,2024-01-01,1044,Laptop,Computers,1,800,800
2,2024-01-02,1047,Keyboard,Peripherals,3,40,120
3,2024-01-03,1064,Headphones,Audio,2,60,120
4,2024-01-04,1067,Monitor,Displays,3,200,600
5,2024-01-05,1067,Speaker,Audio,3,120,360
6,2024-01-06,1009,Monitor,Displays,1,200,200
7,2024-01-07,1083,Keyboard,Peripherals,2,40,80
8,2024-01-08,1021,Mouse,Peripherals,2,20,40
9,2024-01-09,1036,Laptop,Computers,4,800,3200
10,2024-01-10,1087,Headphones,Audio,1,60,60
11,2024-01-11,1070,Mouse,Peripherals,2,20,40
12,2024-01-12,1088,Headphones,Audio,2,60,120
13,2024-01-13,1088,Headphones,Audio,3,60,180
14,2024-01-14,1012,Keyboard,Peripherals,4,40,160
15,2024-01-15,1058,Laptop,Computers,1,800,800
16,2024-01-16,1065,Laptop,Computers,2,800,1600
17,2024-01-17,1039,Speaker,Audio,4,120,480
18,2024-01-18,1087,Monitor,Displays,1,200,200
19,2024-01-19,1046,Mouse,Peripherals,3,20,60
20,2024-01-20,1088,Speaker,Audio,2,120,240
21,2024-01-21,1081,Speaker,Audio,4,120,480
22,2024-01-22,1037,Mouse,Peripherals,1,20,20
23,2024-01-23,1025,Speaker,Audio,2,120,240
24,2024-01-24,1077,Laptop,Computers,1,800,800
25,2024-01-25,1072,Headphones,Audio,3,60,180
26,2024-01-26,1009,Monitor,Displays,3,200,600
27,2024-01-27,1020,Speaker,Audio,4,120,480
28,2024-01-28,1080,Monitor,Displays,4,200,800
29,2024-01-29,1069,Headphones,Audio,2,60,120
30,2024-01-30,1079,Monitor,Displays,4,200,800
31,2024-01-31,1047,Headphones,Audio,2,60,120
32,2024-02-01,1064,Monitor,Displays,1,200,200
33,2024-02-02,1082,Laptop,Computers,2,800,1600
34,2024-02-03,1099,Speaker,Audio,3,120,360
35,2024-02-04,1088,Monitor,Displays,3,200,600
36,2024-02-05,1049,Monitor,Displays,4,200,800
37,2024-02-06,1029,Mouse,Peripherals,3,20,60
38,2024-02-07,1019,Monitor,Displays,2,200,400
39,2024-02-08,1019,Speaker,Audio,1,120,120
40,2024-02-09,1014,Speaker,Audio,3,120,360
41,2024-02-10,1039,Headphones,Audio,3,60,180
42,2024-02-11,1032,Laptop,Computers,2,800,1600
43,2024-02-12,1065,Monitor,Displays,2,200,400
44,2024-02-13,1009,Laptop,Computers,2,800,1600
45,2024-02-14,1057,Laptop,Computers,2,800,1600
46,2024-02-15,1032,Monitor,Displays,1,200,200
47,2024-02-16,1031,Mouse,Peripherals,2,20,40
48,2024-02-17,1074,Keyboard,Peripherals,4,40,160
49,2024-02-18,1023,Monitor,Displays,1,200,200
50,2024-02-19,1035,Keyboard,Peripherals,1,40,40
51,2024-02-20,1075,Monitor,Displays,4,200,800
52,2024-02-21,1055,Laptop,Computers,3,800,2400
53,2024-02-22,1028,Monitor,Displays,4,200,800
54,2024-02-23,1034,Keyboard,Peripherals,3,40,120
55,2024-02-24,1000,Laptop,Computers,2,800,1600
56,2024-02-25,1000,Monitor,Displays,3,200,600
57,2024-02-26,1036,Mouse,Peripherals,4,20,80
58,2024-02-27,1053,Headphones,Audio,1,60,60
59,2024-02-28,1005,Monitor,Displays,4,200,800
60,2024-02-29,1038,Mouse,Peripherals,2,20,40
61,2024-03-01,1017,Keyboard,Peripherals,2,40,80
62,2024-03-02,1079,Speaker,Audio,2,120,240
63,2024-03-03,1004,Mouse,Peripherals,4,20,80
64,2024-03-04,1042,Headphones,Audio,2,60,120
65,2024-03-05,1058,Mouse,Peripherals,3,20,60
66,2024-03-06,1031,Speaker,Audio,2,120,240
67,2024-03-07,1001,Monitor,Displays,1,200,200
68,2024-03-08,1065,Mouse,Peripherals,2,20,40
69,2024-03-09,1041,Monitor,Displays,3,200,600
70,2024-03-10,1057,Keyboard,Peripherals,4,40,160
71,2024-03-11,1035,Headphones,Audio,1,60,60
72,2024-03-12,1011,Speaker,Audio,4,120,480
73,2024-03-13,1046,Mouse,Peripherals,3,20,60
74,2024-03-14,1082,Headphones,Audio,4,60,240
75,2024-03-15,1091,Mouse,Peripherals,3,20,60
76,2024-03-16,1000,Headphones,Audio,3,60,180
77,2024-03-17,1014,Mouse,Peripherals,3,20,60
78,2024-03-18,1099,Keyboard,Peripherals,2,40,80
79,2024-03-19,1053,Speaker,Audio,3,120,360
80,2024-03-20,1012,Speaker,Audio,2,120,240
81,2024-03-21,1042,Keyboard,Peripherals,2,40,80
82,2024-03-22,1084,Monitor,Displays,4,200,800
83,2024-03-23,1075,Mouse,Peripherals,4,20,80
84,2024-03-24,1068,Keyboard,Peripherals,3,40,120
85,2024-03-25,1006,Keyboard,Peripherals,4,40,160
86,2024-03-26,1068,Headphones,Audio,1,60,60
87,2024-03-27,1047,Keyboard,Peripherals,4,40,160
